sentence_id,event,causes,bad,result,event_first_index,event_last_index,causes_first_index,causes_last_index,bad_first_index,bad_last_index,result_first_index,result_last_index,sentence_text,answer
699802,Intermatic,Provides,Terrible,Support,0,0,1,1,2,2,3,3,Intermatic Provides Terrible Support ! !,
712897,assistant,causes,terrible,accident,9,9,11,11,13,13,14,14,He plans to take them to Peru when his assistant Stephano causes a terrible accident .,
712897,Stephano,causes,terrible,accident,10,10,11,11,13,13,14,14,He plans to take them to Peru when his assistant Stephano causes a terrible accident .,
719140,it,provides,stupid,humor,9,9,10,10,14,14,15,15,The game is also good in the fact that it provides unsatirical yet not stupid humor as well .,
817038,movie,creates,bad,examples,10,10,12,12,13,13,14,14,"

 Why do some people say "" this is a movie that creates bad examples for kids "" ?",
1246264,document,produces,BAD,results,1,1,3,3,5,5,6,6,The document scanner produces really BAD results with lots of vertical streaks .,
1246264,scanner,produces,BAD,results,2,2,3,3,5,5,6,6,The document scanner produces really BAD results with lots of vertical streaks .,
1269508,Matcha,causes,negative,effects,11,11,12,12,14,14,17,17,"Again , unlike many diet aides currently on the market , Matcha causes no negative side - effects such as increased heart rate and high blood pressure .",
2547389,emulsion,induces,terrible,headaches,18,18,19,19,20,20,21,21,"He and his fellow workers paint surfaces in airfields using a special flame retardant substance , but the emulsion induces terrible headaches .",
3645477,battery,produces,annoying,tone,2,2,3,3,5,5,7,7,Low - battery produces an annoying notification tone .,
3966058,Aspartame,causes,bad,loss,3,3,4,4,5,5,7,7,"For me , Aspartame causes bad memory loss and nasty gastrointestinal distress .",
4659229,piece,produces,annoying,noise,1,1,4,4,6,6,7,7,This piece of watch produces very annoying noise .,
4659229,watch,produces,annoying,noise,3,3,4,4,6,6,7,7,This piece of watch produces very annoying noise .,
5472083,guest,creates,bad,feelings,1,1,15,15,16,16,17,17,A guest editorial in the school 's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups .,
5472083,editorial,creates,bad,feelings,2,2,15,15,16,16,17,17,A guest editorial in the school 's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups .,
5610758,it,produces,BAD,signal,4,4,5,5,7,7,3,3,"

 The HDMI signal it produces is BAD .",
5697333,incident,starts,bad,luck,1,1,4,4,9,9,10,10,This incident I think starts a downhill roll of bad luck .,
6108841,guest,creates,bad,feelings,1,1,15,15,16,16,17,17,A guest editorial in the school 's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups .,
6108841,editorial,creates,bad,feelings,2,2,15,15,16,16,17,17,A guest editorial in the school 's official newspaper written by soccer goalie Alvin McCraney creates bad feelings between the two groups .,
6689877,pedal,creates,terrible,buzz,24,24,25,25,27,27,28,28,"It gives the amp a voxy sound except that when you try to use crunch past 12 oclock on the sound knob , the pedal creates a terrible buzz that makes your guitar sound like it has the cheapest single coil pickups except that no repositioning could get rid of it .",
7146869,Where,creates,sad,future,0,0,86,86,88,88,96,96,"Where this comic delves into is mostly like that of Syndrome from the Incredibles , where the past ( or the future , in Bill & Ted 's case ) influences the comeuppance and evil robot - building power of the angry brute , de Nomolos , who remembered a teasing Bill & Ted from his middle - childhood , stokes a seething hate for Wyld Stallyns , seeks to change the end of Excellent Adeventure so he is responsible for the grand finale , and creates a sad , not at all excellent , dystopian future .",
7739533,it,produces,annoying,sound,18,18,19,19,16,16,17,17,"But , I 'd recommend different one 's for longer hikes ( just because of the annoying sound it produces ) .",
8034797,it,introduces,annoying,issue,23,23,25,25,30,30,31,31,"This one is all metal just like the better one , so it corrects the arm / pivot point breaking problem , however it also introduces a new and equally annoying issue .",
8270963,which,causes,bad,review,9,9,10,10,12,12,15,15,It is indeed power hungry with such gorgeous screen which causes the bad battery life review .,
9123852,that,creates,bad,smell,15,15,16,16,17,17,18,18,I use to protect my microphones ...... of karaoke singers because they sing spit and that creates bad smell in the microphone .... very good product I recommend,
10219774,plosive,creates,annoying,pop,1,1,12,12,19,19,15,15,"Every plosive ( i.e. "" P "" or "" B "" ) creates a windy pop that is super annoying and hard to get rid of in post production .",
10219774,P,creates,annoying,pop,5,5,12,12,19,19,15,15,"Every plosive ( i.e. "" P "" or "" B "" ) creates a windy pop that is super annoying and hard to get rid of in post production .",
10219774,B,creates,annoying,pop,9,9,12,12,19,19,15,15,"Every plosive ( i.e. "" P "" or "" B "" ) creates a windy pop that is super annoying and hard to get rid of in post production .",
10323574,which,initiates,annoying,onslaught,7,7,8,8,10,10,12,12,"It randomly will "" reset "" itself which initiates an annoying musical onslaught from the key fob and there is no way to interrupt it once it has begun .",
10489920,speed,causes,negative,differential,1,1,14,14,16,16,18,18,Full speed sounds like a [ distant ] jet in my small space and causes a negative pressure differential ( which should be seen as a positive indicator for power / build - quality ) but is perfect at minimum velocity .,
10550094,cable,causes,horrible,static,25,25,26,26,27,27,28,28,"This works fine with my solid state amp with a built in noise gate , but with my Carvin Nomad 50 all tube amp this cable causes horrible static .",
10578081,It,generates,horrible,noise,0,0,1,1,5,5,7,7,"It generates all kinds of horrible electronic noise , including a high pitched oscillation and in - tempo thunks .",
10589609,behavior,creates,negative,mood,17,17,41,41,43,43,44,44,"Another problem is the book gets off on the wrong foot early -- the dog 's calculated behavior at the beginning ( sorry for being vague , I 'm trying to avoid spoilers ) requires too much suspension of disbelief and creates a negative mood .",
10603243,It,generates,horrible,noise,0,0,1,1,5,5,7,7,"It generates all kinds of horrible electronic noise , including a high pitched oscillation and in - tempo thunks .",
10851941,uses,produces,annoying,noise,5,5,18,18,27,27,23,23,"The bad news : it uses a spring loaded door rather than a diaphragm for propulsion , which produces a click - click noise that may be annoying to some .",
10856109,it,causes,bad,flickering,20,20,21,21,23,23,24,24,"Unlike some other photocell floodlight controls , this one does not appear to have a built in timer , as it causes very bad flickering a dusk / dawn , which is not good for the life of the bulbs .",
